,title,rating,cook_time,calories,sodium,fat,protein,carbs,fiber,personal_rating,ingredients,links
0,Quinoa Tabbouleh,4.5,60,310.0,610.0,16.0,8.0,37.0,6.0,"[['Naomi', 5], ['Ish', 5], ['Lily', 5], ['Tiffany morgan', 4], ['Francois de Galard', 3], ['Melike Harfouche', 4], ['Sarah Beth', 5], ['Chelsea Lee', 5], ['gdineee', 5], ['Janel Marie M.', 5], ['Nona', 5], ['Nona', 5], ['Tam', 5], ['Reema Wali', 5], ['Tanya', 5], ['Amy B.', 4], ['Adrian', 5], ['Krissy Waite', 4], ['Danya Cordoba', 5], ['Lois S.', 5], ['Tam Iam', 5], ['Stevie Smith', 5]]","[['1', 'cup', 'quinoa'], ['1', None, 'lemon'], ['4', 'cloves', 'garlic'], ['1/4', 'cup', 'olive oil'], ['1', 'teaspoon', 'salt'], ['1', None, 'large tomato'], ['1', None, 'cucumber'], ['1', 'bunch', 'curly leaf parsley']]",https://www.yummly.com/recipe/Quinoa-Tabbouleh-2445397
1,Thai Salmon,4.0,21,80.0,370.0,3.5,6.0,5.0,1.0,"[['Sarah R.', 5], ['Sofia Campbell', 3], ['Aaron Henderson', 3], ['tjdiy519', 5], ['Judy Coleman', 5], ['Hey', 5], ['Theresa Singleton', 5], ['Bryana Foster', 5], ['Brian B', 4], ['Laura DeSoo', 5], ['Gemal B.', 4], ['Chiraporn Sae Yue', 5], ['Yulia Zarovski', 5], ['clarisa jairam', 4], ['Dani Brown', 4], ['Douglas Larsen', 5], ['Bailey McNamee', 5], ['Jacen L.', 2], ['Hey Ari ✨', 5], ['Emma Bree', 5], ['Megan', 4], ['suzanne', 5], ['Tashia Annett W.', 3], ['Harper', 4], ['Amy Mendoza', 5], ['Abbie', 4], ['Edia', 5], ['Branch', 5], ['Julie & Rod', 5], ['Nikki', 5]]","[['6', 'ounces', 'salmon fillets'], ['1', 'pinch', 'salt'], ['1/2', 'cup', 'Thai sweet chili sauce'], ['3', 'tablespoons', 'green onions'], [None, None, 'cooking spray']]",https://www.yummly.com/recipe/Thai-Salmon-2408300
2,Coconut Curry Carrot and Sweet Potato Soup,4.0,35,250.0,600.0,18.0,3.0,22.0,6.0,"[['Susan W.', 4], ['Julli', 5], ['Pamela K.', 5], ['Al Brock', 5], ['colquiyt', 5], ['AllstarHomeCook', 5]]","[['1', 'tablespoon', 'coconut oil'], ['1', None, 'yellow onion'], ['1', 'pinch', 'salt'], ['8', None, 'carrots'], ['1', None, 'sweet potatoes'], ['3', 'cups', 'vegetable stock'], ['2', 'tablespoons', 'green curry paste'], ['2', 'teaspoons', 'curry powder'], [None, None, 'salt and ground black pepper'], ['1', None, 'lime'], ['14', 'ounces', 'coconut milk'], [None, None, 'roasted cashews'], [None, None, 'cilantro']]",https://www.yummly.com/recipe/Coconut-Curry-Carrot-and-Sweet-Potato-Soup-2237725
3,Korean Vegetarian Beef,4.5,20,840.0,920.0,9.0,15.0,171.0,3.0,"[['Taylor Kuhn', 5], ['Julie K.', 5], ['Yuliya Astapova', 5], ['Stocking', 5], ['Fréchette', 5], ['roman mylene', 4], ['Leah Tropea', 5], ['Micah', 5], ['Candice Poucher', 5], ['Shannon Kay', 4], ['Amy Byron', 5], ['audrey colman', 5], ['D', 5], ['Errin E.', 5], ['Dawn', 5], ['Kelli Owens', 4], ['Hannah', 5], ['Asmar', 3]]","[['1', 'package', 'veggie ground round'], ['1/2', 'cup', 'brown sugar'], ['1/4', 'cup', 'light soy sauce'], ['1', 'tablespoon', 'olive oil'], ['1', 'tablespoon', 'sesame oil'], ['1', None, 'onion'], ['3', 'cloves', 'garlic'], ['2', 'tablespoons', 'fresh ginger'], ['1/2', 'teaspoon', 'red chili flakes'], ['1/4', 'teaspoon', 'ground black pepper'], ['1', 'teaspoon', 'sesame seeds'], ['4', 'cups', 'basmati rice'], ['1/4', 'cup', 'green onions']]",https://www.yummly.com/recipe/Korean-Vegetarian-Beef-2681632
4,"Braised Chickpeas with Tomato, Spinach, and Feta",4.5,20,440.0,1830.0,23.0,15.0,48.0,10.0,"[['Balandran', 5], ['Wendy Hayne', 3], ['Thessaly', 4], ['Ari', 5], ['Camila Santos', 5], ['Kathy E.', 4], ['Neil Rolfes', 4], ['Emily Kemker', 5], ['Lisa', 4], ['Jennie', 5], ['Meet Merchant', 5], ['vicky l.', 5], ['Brianna Houser', 5], ['Vex Dj', 4], ['Sorrel', 4], ['Julia Boudreau', 4], ['Rebecca', 5], ['Paul Kelly', 5], ['Manu', 4], ['Kathleen Moore', 4], ['Eollyn', 5], ['Sneha R', 4], ['Magsombol', 5], ['Lumiri', 4], ['autumn', 4], ['Dave', 4], ['Andy', 4], ['Magne', 4], ['Krista', 5], ['Sarah W.', 5]]","[['3', 'tablespoons', 'extra virgin olive oil'], ['5', 'cloves', 'garlic'], ['1/2', 'teaspoon', 'red pepper flakes'], ['5', 'ounces', 'baby spinach'], ['24', 'ounces', 'marinara sauce'], ['1', 'can', 'tomatoes'], ['1', 'can', 'chickpeas'], ['1', 'teaspoon', 'kosher salt'], ['1', None, 'lemon'], ['8', 'ounces', 'feta cheese']]",https://www.yummly.com/recipe/Braised-Chickpeas-with-Tomato_-Spinach_-and-Feta-2712016
5,Tuscan Kale With Garlic Tomatoes,4.5,40,130.0,10.0,11.0,1.0,7.0,1.0,"[['Becky Andrade', 4], ['Fina Fonts', 3], ['vera m.', 4], ['Nancy Arciniegas', 5], ['Nate', 4], ['leecee211 l.', 4], ['Aishah J.', 5], ['Hi, Georgette', 5], ['Truong', 4], ['Matt', 5], ['hungry', 3], ['Patrick J.', 5]]","[['1', None, 'Tuscan kale'], ['4', 'tablespoons', 'extra virgin olive oil'], ['5', 'cloves', 'garlic'], ['2', 'pints', 'grape tomatoes'], ['2', 'tablespoons', 'balsamic vinegar']]",https://www.yummly.com/recipe/Tuscan-Kale-With-Garlic-Tomatoes-2602134
6,5-Ingredient Cheese Naan Pizzas,4.5,17,80.0,150.0,3.0,4.0,9.0,0.0,"[['Lauren', 5], ['beverly lemus', 5], ['Robert Freeland', 4], ['Weston', 5], ['Jack', 5], ['Te ca', 5], ['Ryan C.', 5], ['Firman', 5], ['AJ', 5], ['EmJay Hart', 5], ['Sarah Centeno', 5], ['Shawn Adams', 4], ['Natasha Jordan', 5], ['Benny shoeshine', 5], ['Vlad Manolov', 4], ['Cj Hyneman', 5], ['Tisha W.', 5], ['Dana P.', 4], ['Anne Schmidt', 5], ['Allondra', 4], ['Danny', 5], ['Ruth Rangan', 5], ['Luke Hammond', 5], ['Tyra Nunn', 5], ['Sanya Taneja', 5], ['House of Wilmington', 5], ['CJ Lawrence', 5], ['Brenda C.', 5], ['lisa g.', 3], ['Cherial', 4]]","[['4', 'pieces', 'naan'], ['2', 'teaspoons', 'olive oil'], ['2/3', 'cup', 'pizza sauce'], ['1 1/2', 'cups', 'mozzarella cheese'], ['1/2', 'teaspoon', 'dried oregano']]",https://www.yummly.com/recipe/5-Ingredient-Cheese-Naan-Pizzas-9029450
7,Oven Baked Pork Chop,4.5,180,290.0,910.0,17.0,20.0,15.0,0.0,"[['Brandon H.', 3], ['Jami R.', 5], ['Eva Harms', 5], ['Susan M.', 5], ['Chubroc', 5], ['Robyn', 4], ['Scott W.', 5], ['Wiken', 5], ['H', 5], ['Terry Johnson', 2], ['Andrea C.', 3], ['Kenneth Aaron', 5], ['Sheldon Kargus', 5], ['Doug Stone', 4], ['Halee', 5], ['Kt', 4], ['Patron D.', 4], ['Gary N.', 5], ['Keishana Crenshaw', 3], ['Alti', 5], ['Gabriel Caesar', 5], ['Wilson', 4], ['Honey Mustard', 4], ['Deayndre Proctor', 5], ['Janson', 5], ['Ann Kim', 5], ['Megan B.', 4], ['behlmer', 4], ['Sincere Bultron', 5], ['Ross', 5]]","[[None, None, 'pork chops'], ['1', 'tablespoon', 'soy sauce'], ['2', 'tablespoons', 'vegetable oil'], ['1', 'tablespoon', 'worcestershire sauce'], ['1', 'teaspoon', 'lemon juice'], ['2', 'tablespoons', 'brown sugar'], ['2', 'tablespoons', 'ketchup']]",https://www.yummly.com/recipe/Oven-Baked-Pork-Chop-2512778
8,White Chocolate-Raspberry Blender Muffins,4.0,25,200.0,170.0,5.0,6.0,33.0,5.0,"[['Cindy S.', 4], ['Ashley I.', 5], ['Kevin W.', 4], ['Rossum', 2], ['Kieyla S.', 5]]","[['2', 'cups', 'old-fashioned oats'], ['2', None, 'eggs'], ['1', 'cup', 'plain greek yogurt'], ['1/2', 'teaspoon', 'vanilla extract'], ['1/2', 'teaspoon', 'baking powder'], ['1/2', 'teaspoon', 'baking soda'], ['2', None, 'bananas'], ['3', 'tablespoons', 'maple syrup'], ['1/2', 'cup', 'white chocolate chips'], ['1 1/2', 'cups', 'raspberries']]",https://www.yummly.com/recipe/White-Chocolate-Raspberry-Blender-Muffins-2157688
9,Perfect Air Fryer Salmon,4.5,40,310.0,460.0,20.0,24.0,10.0,5.0,"[['dale', 5], ['Eileen', 3], ['YumChef', 5], ['Mrs. Watson', 5], ['Veronica Choice', 5], ['Ronnie', 4], ['Birgitt H.', 3], ['Cynthia', 5], ['Heather Scheffler', 5], ['Calandra A.', 5], ['Sin T.', 4], ['Holly R', 3], ['Lynn R.', 4], ['Leighann I.', 5], ['Garcsa B.', 5]]","[['2', None, 'salmon fillets'], ['2', 'teaspoons', 'avocado oil'], ['2', 'teaspoons', 'paprika'], [None, None, 'salt'], [None, None, 'black pepper'], [None, None, 'lemon wedges']]",https://www.yummly.com/recipe/Perfect-Air-Fryer-Salmon-2359452
10,Vegetarian Chimichangas,4.0,25,460.0,1330.0,16.0,16.0,66.0,11.0,"[['0924', 5], ['Greg', 5], ['Ashley W.', 5], ['Gillian Reinhardt', 5], ['Greetings', 5], ['Jackie Inouye', 5], ['Shelby Dovah', 5], ['Megan', 4], ['Anna', 4], ['rodriguez', 5], ['Wendy Wilson', 5], ['Randy W.', 4], ['Osito', 3], ['Mel', 4], ['Darrell Pond', 5], ['tarun g.', 3]]","[['1', None, 'onion'], ['4', None, 'garlic cloves'], ['2', 'teaspoons', 'olive oil'], ['2', 'teaspoons', 'ground cumin'], ['1', 'cup', 'button mushrooms'], ['1', 'teaspoon', 'kosher salt'], ['7', 'ounces', 'diced green chilies'], ['15', 'ounces', 'vegetarian refried beans'], ['15', 'ounces', 'black beans'], ['15', 'ounces', 'diced tomatoes'], ['1/2', 'cup', 'chopped cilantro'], ['2', 'cups', 'cooked brown rice'], ['1', 'cup', 'salsa'], ['1', 'cup', 'grated cheddar cheese'], ['1', None, 'avocado'], ['8', None, 'tortillas']]",https://www.yummly.com/recipe/Vegetarian-Chimichangas-2569642
11,Garlic Butter Shrimp,4.5,20,160.0,370.0,6.0,23.0,4.0,1.0,"[['Thompson', 4], ['Tiffany', 5], ['Joshua Schoonmaker', 5], ['Amundson', 5], ['Erica Kamantauskas', 5], ['Harley Yomes', 5], ['Di Ventura', 5], ['Nay Rucker', 5], ['Tamar McDonald', 5], ['Sprkey', 5], ['Alexis Smith', 5], ['Rebecca Aponte', 5], ['Susan D.', 5], ['Emily Scannell', 5], ['Maribel', 5], ['Talzeez', 4], ['Jasmine', 5], ['Alvarez', 4], ['Ortiz', 5], ['Sievert', 5], ['Rusty O.', 4], ['Cammy Brown', 5], ['Jessica R.', 5], ['Chelsea V.', 4], ['Charles Cuneo', 4], ['Cassie', 5], ['Lott', 5], ['peachie p.', 4], ['Devika Foster', 4], ['CK S.', 4]]","[['1', 'tablespoon', 'olive oil'], ['1', 'pound', 'shrimp'], [None, None, 'salt'], [None, None, 'pepper'], ['1', 'teaspoon', 'garlic paste'], ['1', 'tablespoon', 'chili pepper'], ['1', 'tablespoon', 'fresh lemon juice'], ['1', 'teaspoon', 'dried parsley'], ['1', 'teaspoon', 'red pepper flakes']]",https://www.yummly.com/recipe/Garlic-Butter-Shrimp-2466095
12,Mexican Lasagna,4.0,50,280.0,160.0,11.0,24.0,20.0,3.0,"[['Alvarez', 4], ['Edward', 4], ['Coyne', 5], ['Rebecca J R.', 5], ['Tris M.', 5], ['Addie Addelsons', 5], ['Toni Evans Duke', 5], ['Ádám Albert', 5], ['Anna', 4], ['Nichole Kennedy', 4], ['Josie Wysk', 4], ['Games Got Board', 1], ['Zeina Kabbara', 4], ['Angie Davis', 5], ['sherry s.', 2], ['08901 l.', 5], ['Denise M.', 5], ['Marnie H.', 4], ['Angela D.', 4], ['Mikey B.', 5], ['Tonya O.', 5]]","[['2', 'tablespoons', 'olive oil'], ['2', None, 'zucchini'], ['1', None, 'white onion'], ['1', 'clove', 'garlic'], ['1 1/2', 'pounds', 'lean ground beef'], ['1', 'teaspoon', 'dried oregano'], ['1/2', 'teaspoon', 'ground chipotle chile pepper'], ['1', 'cup', 'frozen whole kernel corn'], [None, None, '1 jar (1 lb. 8 oz.) Ragu® Old World Style® Pasta Sauce'], ['1', 'cup', 'part-skim mozzarella cheese'], ['10', None, 'corn tortillas']]",https://www.yummly.com/recipe/Mexican-lasagna-297235
13,Bacon Cheeseburger Dip,3.0,21,1500.0,1490.0,153.0,26.0,4.0,1.0,"[['Buddy Bennett', 3], ['Joshua Aubihl', 1], ['David M.', 3], ['Phyllis R.', 4], ['Steve Eckstein', 4], ['Joanna W.', 4], ['Dianne Ballard', 1], ['Karen H.', 5]]","[['8', 'ounces', 'ground beef'], ['2', 'cups', 'shredded cheddar cheese'], ['1', 'cup', ""hellmann's or best foods real mayonnaise""], ['1/2', 'cup', 'sour cream'], ['1', 'cup', 'tomato'], ['4', 'pieces', 'bacon, crisp-cooked and crumbled'], ['1/3', 'cup', 'red onion']]",https://www.yummly.com/recipe/Bacon-cheeseburger-dip-297605
14,Best Green Bean Casserole,4.5,30,420.0,840.0,25.0,15.0,36.0,7.0,"[['Johanna A.', 3], ['Jennifer V.', 5], ['Brittany Guzman', 5], ['Sonja Grevois', 5], ['Valeri Santa Cruz', 5]]","[['29', 'ounces', 'green beans'], ['10 3/4', 'ounces', 'condensed cream of mushroom soup'], ['6', 'ounces', 'french fried onions'], ['1', 'cup', 'shredded cheddar cheese']]",https://www.yummly.com/recipe/Best-Green-Bean-Casserole-9105122
15,Hamburger Casserole,4.5,60,910.0,850.0,35.0,51.0,96.0,5.0,"[['Dawn R.', 5], ['Michael Rutter', 4], ['Annie Millman', 3], ['Jena Kadyk', 4], ['Carney', 2], ['Holly Hodge', 5], ['Ryan Bialek', 5], ['Sarah Goldenstein', 5], ['AJ', 5], ['Heather', 5], ['Aaron Sanders', 5], ['CeCe Jones', 5], ['Bledsoe', 4], ['Benjamin Elder', 4], ['B.ELAINE', 5], ['Tami McMenimen', 4], ['Brett Madeiros', 4], ['Jon Johnson', 3], ['Munger', 4], ['Sheena Bourque', 4], ['Jacob and Lynette H.', 5], ['Lisa', 4], ['Michelle C.', 5], ['Milagra Gabaldon', 5], ['Josephine K.', 5], ['Kerry M.', 4], ['Patrick', 5], ['Riley', 3], ['Schroeder', 5], ['Nedd', 4]]","[['1', 'pound', 'shells'], ['1', 'pound', 'hamburger'], ['2', 'cans', 'tomato soup'], ['1', 'cup', 'cheddar cheese'], ['1', 'cup', 'mozzarella cheese']]",https://www.yummly.com/recipe/Hamburger-Casserole-2286133
16,Bacon Ranch Potato Salad,4.5,15,380.0,600.0,26.0,16.0,21.0,3.0,"[['Johnson', 4], ['Tina Bhakta', 5], ['Phili', 5], ['Youngheart', 3], ['Teri Gorrell', 5], ['Riley', 5], ['Deanna ivey', 5], ['James Wessinger', 4], ['Roberts', 5], ['Max Cutrara', 4], ['Carolann Sutherland', 4], ['Eva', 2], ['Melody F.', 3], ['Yummly User', 5], ['Trujeque', 4], ['Elena Y.', 5], ['Pete', 4], ['Joy Bielski', 5], ['Peg G.', 5], ['Anthony Welch', 5], ['Gregory L.', 5], ['Jennifer J.', 3], ['Nichole', 5], ['L', 4], ['Kathy', 5], ['MJ', 5], ['Jon Kienel', 5], ['Jorin', 5]]","[['2', 'pounds', 'potatoes'], ['16', 'ounces', 'sour cream'], ['1', 'ounce', 'ranch dressing mix'], ['1 1/4', 'cups', 'cooked bacon'], ['1 1/2', 'cups', 'shredded cheddar cheese'], ['2', 'bunches', 'green onions']]",https://www.yummly.com/recipe/Bacon-Ranch-Potato-Salad-2661649
17,Chicken Curry,4.0,20,470.0,200.0,35.0,29.0,16.0,6.0,"[['Marken', 1], ['Aidan', 5], ['Cameron Deland', 5], ['Emily Richardson', 4], ['Jordan Waller', 5], ['Grant W.', 5], ['M P.', 4], ['Jeanne L.', 5], ['Christine Garvey', 5], ['Zac Fields', 4], ['Felisia', 5], ['Rhemely F.', 5], ['Krysta', 5], ['Gilliard', 5], ['Danielle Creswick', 5], ['Mari Bliss', 5], ['Roberta Gasis', 5], ['Okina McGowan', 3], ['Krystal Jackson', 4], ['Fergus Bennie', 5], ['Vargha', 4], ['Marisol Moreno', 4], ['Laura L.', 4], ['Jill Chapman', 5], ['Vicki', 4], ['Shelley K.', 5], ['Paul M.', 5]]","[['2', 'tablespoons', 'oil'], ['1', 'pound', 'chicken breasts'], ['1', None, 'onion'], ['1', 'clove', 'garlic'], ['2', 'tablespoons', 'curry powder'], ['3', None, 'tomatoes'], ['14', 'ounces', 'coconut milk'], ['8', 'ounces', 'baby spinach']]",https://www.yummly.com/recipe/Chicken-Curry-1409726
18,Crisp Bean Burritos,4.5,40,560.0,550.0,52.0,10.0,14.0,5.0,"[['Cathy Toms Davis', 5], ['Joshua Bibbee', 4], ['Colton Hale', 5], ['Dawn', 4], ['Emily Slusher', 5], ['Krystal', 5], ['Katy o', 4], ['Leslie Grobbelaat', 4], ['Kendra Masonbrink', 5], ['Lola M.', 5], ['Ivanez', 5], ['ee', 5], ['Patti', 5], ['melissa', 4], ['Hi shayna J.', 5], ['Cammel', 5], ['Mikayla F.', 4], ['Mark', 5], ['Kendal K.', 4], ['Jennifer Semmler', 5], ['Cienna Banwell', 5], ['Hannah Abrams', 4], ['Wood', 5], ['Chelsea Wasa', 5], ['Elizabeth C.', 4], ['P', 3], ['Addie', 3], ['Santiago', 5], ['Terri P.', 4], ['Cyndy N.', 4]]","[['6', 'inches', 'flour tortillas'], ['16', 'ounces', 'refried beans'], ['1', 'cup', 'sharp cheddar cheese'], ['1', 'cup', 'vegetable oil']]",https://www.yummly.com/recipe/Crisp-Bean-Burritos-2433532
19,Mongolian Beef,4.5,20,390.0,1510.0,15.0,34.0,27.0,1.0,"[['Graham Mylett', 5], ['Jeff Mass', 4], ['Cortney Phoenix', 5], ['Mat F.', 5], ['Joanna Cegielska', 5], ['Jesika Roman Yates', 5], ['jeet', 5], ['Christopher Sheldon', 5], ['Georgina Archer', 5], ['Jasmine S.', 4], ['Angela Jackson', 5], ['Marie Velazquez', 5], ['Linda', 5], ['David De Silva', 5], ['Ashley W.', 5], ['Sam', 4], ['kitcatnaomi528', 5], ['Rhonda Quarterman', 5], ['Jay', 5], ['Nicole', 5], ['Lisa', 5], ['Joan', 5], ['Hanson', 5], ['james s.', 4], ['Alison Langsford', 5], ['Natalie E.', 5], ['Natalie', 4], [""Aaron O'Gara"", 5], ['Brandi Stoudemire-Barnes', 3], ['Jones', 4]]","[['1', 'pound', 'flank steak'], ['1/4', 'cup', 'cornstarch'], ['3', 'teaspoons', 'vegetable oil'], ['1/2', 'teaspoon', 'ginger'], ['1', 'tablespoon', 'minced garlic'], ['1/2', 'cup', 'water'], ['1/2', 'cup', 'low sodium soy sauce'], ['1/4', 'cup', 'brown sugar'], ['3/4', 'teaspoon', 'red pepper flakes'], ['1', None, 'green onion']]",https://www.yummly.com/recipe/Mongolian-Beef-771727
20,Sweet and Sour Glazed Chicken Breasts,4.5,35,320.0,690.0,6.0,54.0,9.0,0.0,"[['dudu The G. Great. Got The T Retry Fmfmfjf Fnfmfjfjf Fmfmffjfmfkkkk', 5], ['Richards', 3], ['L', 5], ['Larracuente-Ocasio', 5], ['Kaylynn Cavins', 5], ['Lisa H.', 4], ['Brandi', 5], ['James Coleman Sr', 4], ['Yehuda K.', 5], ['Kara Guse', 5], ['moreno', 5], ['Elizabeth Baines', 5], ['david silvon', 1], ['Bj Owens', 5], ['Felicia Jenkins', 2], ['Sara Organ', 4], ['Steyn', 4], ['Krystal', 5], ['Valerie Carothers', 4], ['J', 5], ['Karpathios', 5], ['Carla Weiler', 4], ['Jordan Winowiecki', 5], ['Monika Z', 4], ['Alaysha Weldishofer', 5], ['6ad64fb1-821e-4340-911f-d5a75edf15fd', 5], ['Jennifer Cerbone', 4], ['Reheeshaa Nandanwar', 5], ['Obenauer', 5], ['Perkins', 4]]","[['2', 'pounds', 'skinless chicken breasts'], ['1/4', 'cup', 'reduced-sodium soy sauce'], ['4', 'teaspoons', 'honey'], ['1/2', 'teaspoon', 'ground ginger'], ['1', 'teaspoon', 'garlic powder'], ['1', 'cup', 'low sodium chicken broth'], ['2', 'teaspoons', 'cornstarch']]",https://www.yummly.com/recipe/Sweet-and-Sour-Glazed-Chicken-Breasts-9029449
21,Breakfast Toast Cups,4.5,35,290.0,630.0,20.0,13.0,14.0,1.0,"[['Leah Fogarasi', 5], ['Hi', 5], ['Rhys', 5], ['Sarah Krushinski', 5], ['Sofia Talamantes', 5], ['Gianna Gutierrez', 5], ['YumChef', 5], ['Samra', 5], ['Sidney Shipp', 2], ['Joelle Roy', 4], ['Queenabrelatas', 5], ['Becky C.', 5], ['Cara S.', 5], ['Lorisa Berisha', 4], ['Sam', 5], ['Jonathan Hunt', 5], ['Ryley', 4], ['Julia', 4], ['Eve Malloy', 5], ['Ansley Lanier', 2], ['Alexandra Milán', 5], ['jacqueline c.', 4]]","[['6', 'slices', 'bread'], ['1', 'handful', 'spinach'], ['1/4', 'cup', 'cheese'], ['6', None, 'eggs'], ['6', 'slices', 'bacon'], [None, None, 'salt'], ['2', 'tablespoons', 'butter cooking spray']]",https://www.yummly.com/recipe/Breakfast-Toast-Cups-2377015
22,Easy Garlic-Herb Baked Salmon,4.5,20,270.0,360.0,18.0,23.0,4.0,1.0,"[['Kim Accurso', 5], ['Douglas', 4], ['White', 5], ['Belinda', 5], ['Caitlin S', 4], ['Karen Delacruz', 5], ['Aletha Carroll', 5], ['loann rodriguez', 5], ['Ashley', 5], ['Tori Innella', 4], ['Sara Rodas', 4], ['Luciano Cedillo', 5], ['Aavan', 5], ['Odessa', 5], ['kristine g.', 5], ['Nefititi B.', 5], ['Carolyn Watson', 4], ['Rodrigo Garcia', 5], ['Michael Bolt', 5], ['Mark Sharp', 5], ['Maria', 5], ['Trish Concepcion', 5], ['Ahmad Rashidi', 5], ['Journey', 4], ['Daniel Severe', 4], ['Thomas', 5]]","[['4', None, 'salmon fillets'], ['1', 'tablespoon', 'unsalted butter'], ['1/2', 'teaspoon', 'salt'], [None, None, 'black pepper'], ['3', 'cloves', 'garlic'], ['2', 'sprigs', 'fresh rosemary'], ['1/2', None, 'lemon']]",https://www.yummly.com/recipe/Easy-Garlic-Herb-Baked-Salmon-9029448
23,Italian Crescent Casserole,4.5,35,530.0,760.0,31.0,27.0,35.0,4.0,"[['Jeannie', 5], ['Williams', 5], ['Mol', 5], ['Diane M.', 5], ['Katey campbell', 5], ['Stephanie C.', 5], ['Cindy S.', 4], ['Teri S.', 5], ['Lindeman', 5], ['Harvey', 4], ['Phil W.', 5], ['Lauren Mitchell', 5], ['jonlon b.', 4], ['Amy S.', 5], ['Diane Bell', 5], ['Mik', 4], ['Brent Kane', 5], ['kat', 5], ['Ashley Samsel', 5], ['Alaina Epps', 5], ['Candi Haggard', 5], ['Kathleen', 5], ['TIA-MARIA SMITH', 3], ['Sheila', 5], ['Dawn', 4], ['Johanna S.', 5], ['Matthew Zoccola', 5], ['Frederick', 4], ['Kevin Thomas', 5], ['Jennifer M.', 5]]","[['1', 'pound', 'ground beef'], ['1', 'cup', 'pasta sauce'], ['8', 'ounces', 'refrigerated crescent dinner rolls'], ['1 1/2', 'cups', 'shredded Italian cheese blend'], ['1/4', 'teaspoon', 'dried basil leaves']]",https://www.yummly.com/recipe/Italian-Crescent-Casserole-1248908
24,Bubba Gump Shrimp,4.5,20,210.0,170.0,23.0,1.0,2.0,1.0,"[['Walt', 5], ['Brandi Mitchell', 5], ['Rachel', 3], ['Neale', 3], ['Angel O.', 5], ['Miller', 4], ['JEB', 3], ['CELINA L.', 5], ['Denton', 4], ['Ace', 5], ['Gabriella J.', 4], ['Jamie Podratz', 5], ['Melinda Pett', 5], ['Smith', 4], ['Cassie Kimbrough', 5], ['Jesse', 5], ['Kirk Brown', 4], ['Alyssa Brown', 5], ['sena', 4], ['Shelley', 4], ['Candie Castillo', 5], ['Daniel Rodriguez', 3], ['matthew a.', 5], ['Cody Yard', 5], ['Nikki Bordelon', 5], ['Ragland', 5], ['Lisha', 5], ['Robin Emery', 5], ['Kate', 4], ['Jeremy Warner', 4]]","[['1/2', 'cup', 'butter'], ['1', 'tablespoon', 'oregano'], ['2', 'tablespoons', 'chopped garlic'], ['1', 'teaspoon', 'cayenne pepper'], ['24', 'pieces', 'large shrimp']]",https://www.yummly.com/recipe/Bubba-Gump-Shrimp-2312171
25,Breakfast Taquitos,4.5,35,560.0,650.0,36.0,24.0,40.0,8.0,"[['Dani Smith', 5], ['Rafique', 5], ['Lyndsey Rhéaume', 4], ['Sebastian Giammarino', 5], ['Maiya Rose', 4]]","[['12', None, 'corn tortillas'], ['3', None, 'large eggs'], ['6', 'ounces', 'spicy Italian sausage'], ['1/4', 'cup', 'sun dried tomatoes'], ['1', None, 'avocado'], ['1', 'cup', 'shredded sharp cheddar cheese']]",https://www.yummly.com/recipe/Breakfast-Taquitos-2649523
26,Maple Dijon Salmon,4.5,35,380.0,260.0,24.0,24.0,16.0,1.0,"[['laura m.', 3], ['Paula Stimson', 5], ['Ina D', 5], ['Yvonne', 5], ['Elena O.', 5], ['Alyssa D', 5], ['Bennett', 5], ['mike mcfarland', 5], ['L Dub', 5], ['Maureen Lennox', 5], ['Saphire', 5], ['Filipe Nunes', 5], ['shamsuddin', 5], ['Sabrina Heivilin', 5], ['Celeste Anderson', 4], ['Adriana Watson Rodríguez', 5], ['Tony Washington', 5], ['Queen Savory', 5], ['Chloe Z.', 5], ['Maddy', 5], ['bob', 5], ['Janet lyman', 5], ['Linda', 5], ['Fran', 5], ['Jensen Ragoonath', 5], ['Cassy Walker', 5], ['Elle', 4], ['Rebecca B.', 5], ['R Nelson', 5], ['Niko', 5]]","[['16', 'ounces', 'salmon fillets'], ['1/4', 'cup', 'maple syrup'], ['1/4', 'cup', 'Dijon mustard'], ['2', 'tablespoons', 'olive oil'], ['2', None, 'garlic cloves'], [None, None, 'salt'], [None, None, 'freshly ground black pepper']]",https://www.yummly.com/recipe/Maple-Dijon-Salmon-2610693
27,Low-Carb Zucchini Bake with Feta and Thyme,4.0,50,160.0,480.0,12.0,8.0,6.0,1.0,"[['Hey', 4], ['Lisa Barrett', 4], ['Harding', 4], ['Mel', 5], ['Hello', 4], ['Justine S.', 5], ['Woodard', 5], ['Kathleen Alvey', 5], ['Mary Tudor', 4], ['Leah', 4], ['Betsy M.', 5]]","[['4', None, 'summer squash'], ['1', 'tablespoon', 'olive oil'], ['1', 'tablespoon', 'minced garlic'], ['2', 'tablespoons', 'fresh thyme leaves'], ['2', None, 'large eggs'], ['1/3', 'cup', 'sour cream'], ['1', 'cup', 'crumbled feta'], ['2', 'tablespoons', 'grated Parmesan cheese'], ['1', 'tablespoon', 'lemon juice'], [None, None, 'salt'], [None, None, 'fresh ground black pepper']]",https://www.yummly.com/recipe/Low-Carb-Zucchini-Bake-with-Feta-and-Thyme-2233293
